Código Mantenedora,Razão Social,CNPJ,Natureza Jurídica,Código IES,Instituição(IES),Sigla,Telefone,Sitio,e-Mail,Endereço Sede,Município,UF,Organização Acadêmica,Tipo de Credenciamento,Categoria,Categoria Administrativa,Data do Ato de Criação da IES,CI,Ano CI,CI-EaD,Ano CI-EaD,IGC,Ano IGC,Reitor/Dirigente Principal,Representante Legal,Sinalizações Vigentes,Situação da IES
323,ASSOCIACAO BRASILEIRA DE ENSINO UNIVERSITARIO ABEU,30.831.606/0001-30,Privada sem fins lucrativos,2565,ABEU - CENTRO UNIVERSITÁRIO (UNIABEU),UNIABEU,(21) 2104-0460,www.uniabeu.edu.br,pesquisador@abeu.edu.br,Rua Itaiara - 301 - CEP: 26113-400 - Centro,Belford Roxo,RJ,Centro Universitário,EAD - Superior / Presencial - Superior,Privada,Privada sem fins lucrativos,2002-05-16,4,2015,4,2018,3,2019,,,,Ativa
17963,POLICIA MILITAR DO ESTADO DE MINAS GERAIS,16.695.025/0001-97,Pessoa Jurídica de Direito Público - Estadual,25613,ACADEMIA DE POLÍCIA MILITAR DE MINAS GERAIS (APM),APM,(31) 2123-9484,https://www.policiamilitar.mg.gov.br/portal-pm/apm/principal.action,divisaodeensino.apm@pmmg.mg.gov.br,Rua Diabase - 320 - CEP: 30411-060 - Prado,Belo Horizonte,MG,Faculdade,Presencial - Superior,Publica,Pública Estadual,2005-11-29,-,,-,,-,,,,,Ativa
17403,ESPIRITO SANTO SECRETARIA DE EST DE SEGURANCA PUBLICA,27.476.373/0001-90,Pessoa Jurídica de Direito Público - Estadual,24465,ACADEMIA DE POLÍCIA MILITAR DO ESPÍRITO SANTO (APM/ES),APM/ES,,,,,,,Faculdade,Presencial - Superior,Publica,Pública Estadual,2016-11-10,-,,-,,-,,,,,Ativa
15797,SANTA CATARINA TRIBUNAL DE JUSTICA,83.845.701/0001-59,Pessoa Jurídica de Direito Público - Estadual,17969,ACADEMIA JUDICIAL DO TRIBUNAL DE JUSTIÇA DE SANTA CATARINA (AJ),AJ,48-32872800,http://acadjud.tjsc.jus.br,academia@tjsc.jus.br,Rua Almirante Lamego - 1386 - CEP: 88015-601 - Centro,Florianópolis,SC,Escola de Governo,Escola do Governo,Publica,Pública Estadual,2017-03-27,5,2015,-,,-,,,,,Ativa
409,COMANDO DO EXERCITO,00.394.452/0001-03,Pessoa Jurídica de Direito Público - Federal,21095,Academia Militar das Agulhas Negras (AMAN),AMAN,2433884500,http://www.aman.ensino.eb.br/,rp@aman.ensino.eb.br,AC Academia Militar de Agulhas Negras - 306 - CEP: 27534-970 - Independência,Resende,RJ,Centro Universitário,Presencial - Superior,Publica,Pública Federal,2000-12-14,-,,-,,-,,,,,Ativa
15748,MINISTERIO DA JUSTICA,00.394.494/0014-50,Pessoa Jurídica de Direito Público - Federal,17613,ACADEMIA NACIONAL DE POLÍCIA - ANP (ANP),ANP,61 2024-8800,www.dpf.gov.br/anp/,gab.anp@dpf.gov.br,Academia Nacional de Polícia Federal - - CEP: 71559-900 - Setor Habitacional Taquari (Lago Norte),Brasília,DF,Escola de Governo,EAD - Lato-sensu / Escola do Governo,Publica,Pública Federal,2008-04-30,4,2015,-,,-,,,,,Ativa
1707,ASSOCIACAO JUINENSE DE ENSINO SUPERIOR DO VALE DO JURUENA-AJES,05.053.243/0001-01,Privada sem fins lucrativos,2629,AJES - FACULDADE DO VALE DO JURUENA (AJES),AJES,(66) 3566-1875,http://www.ajes.edu.br,clodis@ajes.edu.br;gtomasini@ajes.edu.br;contato@pomini.org,Avenida Gabriel Müller - s/n - CEP: 78320-000 - Módulo I,Juína,MT,Faculdade,Presencial - Superior,Privada,Privada sem fins lucrativos,2005-04-15,4,2019,-,,4,2019,,,,Ativa
17026,BRAIN EDUCACAO LTDA,28.929.707/0001-04,Privada com fins lucrativos,23139,BRAIN BUSINESS SCHOOL (BRAIN),BRAIN,,,ricardo.mollo@brainpartners.com.br,Rua Baumann - 73 - CEP: 05318-000 - Vila Leopoldina,São Paulo,SP,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,2019-11-06,4,2019,-,,-,,,,,Ativa
31,FUNDACAO DE EDUCACAO PARA O TRABALHO DE MINAS GERAIS,17.319.831/0001-23,Pessoa Jurídica de Direito Público - Estadual,31,CENTRO DE EDUCAÇÃO TÉCNICA DA UTRAMIG (UTRAMIG),UTRAMIG,,www.utramig.mg.gov.br,cet.utramig@yahoo.com.br,Avenida Afonso Pena - 3400 - CEP: 30130-009 - CRUZEIRO,Belo Horizonte,MG,Faculdade,Presencial - Superior,Publica,Pública Estadual,1973-04-24,-,,-,,-,,,,,Ativa
17401,FIEC FUNDACAO INDAIATUBANA DE EDUCACAO E CULTURA,54.675.103/0001-80,Pessoa Jurídica de Direito Público - Municipal,24462,CENTRO DE EDUCAÇÃO TECNOLÓGICO DA FUNDAÇÃO INDAIATUBANA DE EDUCAÇÃO E CULTURA (FIEC),FIEC,0019 3801-8688,www.fiec.com.br,academica@fiec.com.br,Avenida Engenheiro Fábio Roberto Barnabé - - CEP: 13349-003 - Jardim Regina,Indaiatuba,SP,Faculdade,Presencial - Superior,Publica,Pública Municipal,2015-06-04,-,,-,,-,,,,,Ativa
17020,PROCEP - CENTRO DE ENSINO E PESQUISA,39.420.179/0001-71,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,22930,Centro de Ensino e Pesquisa do Pró-Cardíaco (Procep),Procep,,,msalvador@signoinvestimentos.com.br,Rua Voluntários da Pátria - 435 - CEP: 22270-005 - Botafogo,Rio de Janeiro,RJ,Instituição Especialmente Credenciada para oferta de cursos lato sensu,,Privada,Privada sem fins lucrativos,2005-06-20,-,,-,,-,,,,,Ativa
1002,CESUL - CENTRO SULAMERICANO DE ENSINO SUPERIOR LTDA - EPP,02.756.462/0001-69,Privada com fins lucrativos,1523,Centro de Ensino Superior CESUL (CESUL),CESUL,(46) 3524 4242,www.cesul.br,secretaria@cesul.br,Avenida Antônio de Paiva Cantelmo - 1222 - CEP: 85601-970 - CENTRO,Francisco Beltrão,PR,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,2000-06-02,5,2018,-,,4,2019,,,,Ativa
16817,SOCIEDADE EDUCACIONAL SANTO ANTONIO LTDA,19.498.813/0001-81,Privada com fins lucrativos,23973,Centro de Ensino Superior de Altamira,-,,,lima.neto@asesi.edu.br;lima.neto@faculdadeserradourada.com.br,Avenida Novo Horizonte - 783 - CEP: 68378-320 - Cidade Nova,Altamira,PA,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,2021-06-28,4,2020,-,,-,,,,,Ativa
57,AUTARQUIA DE ENSINO SUPERIOR DE ARCOVERDE,11.462.454/0001-09,Pessoa Jurídica de Direito Público - Municipal,73,CENTRO DE ENSINO SUPERIOR DE ARCOVERDE (CESA),CESA,(87)3821-0644 / (87)9927-4392,www.aesa-cesa.br,direcaocesa@hotmail.com,Rua Gumercindo Cavalcanti - 420 - CEP: 56512-902 - SÃO CRISTOVÃO,Arcoverde,PE,Faculdade,Presencial - Superior,Publica,Especial,1969-08-07,-,,-,,2,2019,,,,Ativa
16269,ESCOLA TECNICA DE BACABEIRA LTDA - ME,04.510.265/0001-90,Privada com fins lucrativos,19842,CENTRO DE ENSINO SUPERIOR DE BACABEIRA (CESBA),CESBA,(98)3346-1042,,nubiaetecba@hotmail.com,"Rua dos bacurizeiros, bairro nova bacabeira - Bacabeira - Maranhão - 13 - CEP: 65143-970 - Centro",Bacabeira,MA,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,2018-11-05,3,2016,-,,-,,,,,Ativa
14298,IEDUC - INSTITUTO DE EDUCACAO E CULTURA S/A,08.446.503/0001-05,Privada com fins lucrativos,23179,Centro de Ensino Superior de Catalão,-,31 33199226,,regulatorio@animaeducacao.com.br,Rua Ademar Ferrugem - 840 - CEP: 75701-655 - Santo Antônio,Catalão,GO,Faculdade,,Privada,Privada com fins lucrativos,,4,2019,-,,-,,,,"Credenciamento Prévio, Suspensão contrato FIES, Suspensão PRONATEC, Suspensão PROUNI, Vedação de criação de cursos de especialização Lato Sensu",Ativa
77,FUNDACAO MUNICIPAL DE ENSINO SUPERIOR DE CONS LAFAIETE,19.722.313/0001-81,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Fundação,3488,Centro de Ensino Superior de Conselheiro Lafaiete (CES-CL),CES-CL,31 3762-0840,www.ces-cl.edu.br,ces@ces-cl.edu.br,Rua Lopes Franco - 1001 - CEP: 36400-000 - Carijós,Conselheiro Lafaiete,MG,Faculdade,Presencial - Superior,Privada,Privada sem fins lucrativos,2000-05-10,3,2015,-,,3,2019,,,,Ativa
